volume,book,placeholder_slot,plate_id,passage,selection_status,approval_status,source_type,creator,rights_status,source_asset,source_exists,print_derivative,derivative_exists,derivative_spec,art_direction_gate,caption_range_gate,rights_credit_gate,native_master_gate,physical_proof_gate,notes
Iliad,11,ILI-11,iliad-book-11-patroclus-eurypylus-v2-concept,11.618-11.848,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-11-patroclus-eurypylus-v2.png,true,assets/print/illustrations/iliad/book-11-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,New original source selected over the earlier enlarged placement derivative.
Iliad,12,ILI-12,iliad-book-12-wall-concept,12.1-12.471,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-12-wall-v1.png,true,assets/print/illustrations/iliad/book-12-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 12.
Iliad,13,ILI-13,iliad-book-13-poseidon-concept,13.1-13.837,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-13-poseidon-v1.png,true,assets/print/illustrations/iliad/book-13-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 13.
Iliad,14,ILI-14,iliad-book-14-hera-strategy-concept,14.1-14.522,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-14-hera-strategy-v1.png,true,assets/print/illustrations/iliad/book-14-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 14.
Iliad,15,ILI-15,iliad-book-15-zeus-wakes-concept,15.1-15.746,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-15-zeus-wakes-v1.png,true,assets/print/illustrations/iliad/book-15-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 15.
Iliad,16,ILI-16,iliad-book-16-patroclus-v2-concept,16.1-16.867,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-16-patroclus-v2.png,true,assets/print/illustrations/iliad/book-16-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Central Patroclus candidate; tighter passage lock still required.
Iliad,17,ILI-17,iliad-book-17-menelaus-patroclus-concept,17.1-17.761,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-17-menelaus-patroclus-v1.png,true,assets/print/illustrations/iliad/book-17-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 17.
Iliad,18,ILI-18,iliad-book-18-shield-concept,18.1-18.617,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-18-shield-v1.png,true,assets/print/illustrations/iliad/book-18-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Original shield candidate selected instead of the historical Flaxman/Piroli scan.
Iliad,19,ILI-19,iliad-book-19-reconciliation-concept,19.1-19.424,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-19-reconciliation-v1.png,true,assets/print/illustrations/iliad/book-19-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 19.
Iliad,20,ILI-20,iliad-book-20-divided-gods-concept,20.1-20.503,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-20-divided-gods-v1.png,true,assets/print/illustrations/iliad/book-20-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 20.
Iliad,21,ILI-21,iliad-book-21-scamander-concept,21.1-21.611,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-21-scamander-v1.png,true,assets/print/illustrations/iliad/book-21-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 21.
Iliad,22,ILI-22,iliad-book-22-hector-gate-concept,22.1-22.515,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-22-hector-gate-v1.png,true,assets/print/illustrations/iliad/book-22-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 22.
Iliad,23,ILI-23,iliad-book-23-funeral-games-concept,23.1-23.897,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-23-funeral-games-v1.png,true,assets/print/illustrations/iliad/book-23-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 23.
Iliad,24,ILI-24,iliad-book-24-priam-achilles-v2-concept,24.552-24.620,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-24-priam-achilles-v2.png,true,assets/print/illustrations/iliad/book-24-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,New original source selected over the earlier enlarged placement derivative.
Odyssey,1,ODY-01,odyssey-book-01-athena-v2-concept,1.1-21,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-01-athena-v2.png,true,assets/print/illustrations/odyssey/book-01-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Higher-resolution opening candidate; final art-direction approval pending.
Odyssey,2,ODY-02,odyssey-book-02-ody-02-v1-concept,2.1-2.434,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-02-ody-02-v1.png,true,assets/print/illustrations/odyssey/book-02-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 2.
Odyssey,3,ODY-03,odyssey-book-03-pylos-concept,3.1-3.66,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-03-pylos-v1.png,true,assets/print/illustrations/odyssey/book-03-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 3.
Odyssey,4,ODY-04,odyssey-book-04-sparta-memory-concept,4.1-4.847,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-04-sparta-memory-v1.png,true,assets/print/illustrations/odyssey/book-04-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 4.
Odyssey,5,ODY-05,odyssey-book-05-raft-v2-concept,5.1-5.493,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-05-raft-v2.png,true,assets/print/illustrations/odyssey/book-05-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Newer portrait source selected over the earlier raft candidate.
Odyssey,6,ODY-06,odyssey-book-06-nausicaa-concept,6.1-6.331,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-06-nausicaa-v1.png,true,assets/print/illustrations/odyssey/book-06-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 6.
Odyssey,7,ODY-07,odyssey-book-07-arete-palace-concept,7.1-7.347,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-07-arete-palace-v1.png,true,assets/print/illustrations/odyssey/book-07-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 7.
Odyssey,8,ODY-08,odyssey-book-08-demodocus-concept,8.1-8.586,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-08-demodocus-v1.png,true,assets/print/illustrations/odyssey/book-08-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 8.
Odyssey,9,ODY-09,odyssey-book-09-polyphemus-escape-concept,9.1-9.566,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-09-polyphemus-escape-v1.png,true,assets/print/illustrations/odyssey/book-09-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Original source selected rather than its earlier placement enlargement.
Odyssey,10,ODY-10,odyssey-book-10-moly-concept,10.1-10.574,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-10-moly-v1.png,true,assets/print/illustrations/odyssey/book-10-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 10.
Odyssey,11,ODY-11,odyssey-book-11-tiresias-concept,11.1-11.640,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-11-tiresias-v1.png,true,assets/print/illustrations/odyssey/book-11-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 11.
Odyssey,12,ODY-12,odyssey-book-12-sirens-concept,12.1-12.453,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-12-sirens-v1.png,true,assets/print/illustrations/odyssey/book-12-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 12.
Odyssey,13,ODY-13,odyssey-book-13-return-concept,13.1-13.440,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-13-return-v1.png,true,assets/print/illustrations/odyssey/book-13-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Return-arc threshold candidate; exact caption approval pending.
Odyssey,14,ODY-14,odyssey-book-14-eumaeus-concept,14.1-14.533,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-14-eumaeus-v1.png,true,assets/print/illustrations/odyssey/book-14-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 14.
Odyssey,15,ODY-15,odyssey-book-15-return-omen-concept,15.1-15.557,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-15-return-omen-v1.png,true,assets/print/illustrations/odyssey/book-15-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 15.
Odyssey,16,ODY-16,odyssey-book-16-father-son-concept,16.1-16.481,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-16-father-son-v1.png,true,assets/print/illustrations/odyssey/book-16-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Return-arc recognition candidate; exact caption approval pending.
Odyssey,17,ODY-17,odyssey-book-17-argos-concept,17.1-17.606,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-17-argos-v1.png,true,assets/print/illustrations/odyssey/book-17-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 17.
Odyssey,18,ODY-18,odyssey-book-18-irus-concept,18.1-18.428,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-18-irus-v1.png,true,assets/print/illustrations/odyssey/book-18-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 18.
Odyssey,19,ODY-19,odyssey-book-19-penelope-question-concept,19.1-19.604,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-19-penelope-question-v1.png,true,assets/print/illustrations/odyssey/book-19-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 19.
Odyssey,20,ODY-20,odyssey-book-20-omen-concept,20.1-20.394,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-20-omen-v1.png,true,assets/print/illustrations/odyssey/book-20-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 20.
Odyssey,21,ODY-21,odyssey-book-21-bow-concept,21.1-21.434,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-21-bow-v1.png,true,assets/print/illustrations/odyssey/book-21-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 21.
Odyssey,22,ODY-22,odyssey-book-22-hall-concept,22.1-22.501,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-22-hall-v1.png,true,assets/print/illustrations/odyssey/book-22-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Existing hall candidate; final art-direction approval pending.
Odyssey,23,ODY-23,odyssey-book-23-penelope-bed-concept,23.163-23.246,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-23-penelope-bed-v1.png,true,assets/print/illustrations/odyssey/book-23-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,"Return-arc close, Odyssey 23.163–23.246; final art-direction approval pending."
Odyssey,24,ODY-24,odyssey-book-24-peace-concept,24.203-24.286,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/odyssey/book-24-peace-v1.png,true,assets/print/illustrations/odyssey/book-24-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Odyssey 24.203–24.286 recognition scene; final art-direction approval pending.
